,course_code,course_name,faculty,section,date,professor
32,DM403,"PREPARATION FOR THEATRE AND PERFORMANCE THESIS
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.ภาสกร อินทุมาร
รศ.ปาริชาติ จึงวิวัฒนาภรณ์
รศ.อัศนีย์ เปลี่ยนศรี
ผศ.ดร.ภาวิณี บุญเสริม
อ.ดร.นรีรัตน์ พินิจธนสาร
ผศ.ศรุพงษ์ สุดประเสริฐ
ผศ.ณัฐคม แช่มเย็น
ดร.จารุณี อารีรุ่งเรือง
อ.ดร.อรดา ลีลานุช",คณะศิลปกรรมศาสตร์,000001,,"ผศ.ภาสกร อินทุมาร
รศ.ปาริชาติ จึงวิวัฒนาภรณ์
รศ.อัศนีย์ เปลี่ยนศรี
ผศ.ดร.ภาวิณี บุญเสริม
อ.ดร.นรีรัตน์ พินิจธนสาร
ผศ.ศรุพงษ์ สุดประเสริฐ
ผศ.ณัฐคม แช่มเย็น
ดร.จารุณี อารีรุ่งเรือง
อ.ดร.อรดา ลีลานุช"
33,DM405,"INDEPENDENT STUDY
***เฉพาะนักศึกษาคณะศิลปกรรมศาสตร์เท่านั้น (นศ.นอกคณะโปรดติดต่อผู้ สอนหรืองานบริการการศึกษาคณะฯ)***
ผศ.ภาสกร อินทุมาร",คณะศิลปกรรมศาสตร์,000001,,-
34,DM500,"PREPARATION TO PERFORMING ARTS THESIS
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.ภาสกร อินทุมาร
รศ.ปาริชาติ จึงวิวัฒนาภรณ์
รศ.อัศนีย์ เปลี่ยนศรี
ผศ.ณัฐคม แช่มเย็น
ดร.จารุณี อารีรุ่งเรือง
ผศ.ดร.ภาวิณี บุญเสริม
อ.ดร.นรีรัตน์ พินิจธนสาร
อ.ดร.อรดา ลีลานุช
ผศ.ศรุพงษ์ สุดประเสริฐ",คณะศิลปกรรมศาสตร์,000001,,"ผศ.ภาสกร อินทุมาร
รศ.ปาริชาติ จึงวิวัฒนาภรณ์
รศ.อัศนีย์ เปลี่ยนศรี
ผศ.ณัฐคม แช่มเย็น
ดร.จารุณี อารีรุ่งเรือง
ผศ.ดร.ภาวิณี บุญเสริม
อ.ดร.นรีรัตน์ พินิจธนสาร
อ.ดร.อรดา ลีลานุช
ผศ.ศรุพงษ์ สุดประเสริฐ"
35,FA201,"DEVELOPMENT OF WESTERN ARTS, CULTURE AND SOCIETY
ผศ.วีระจักร์ สุเอียนทรเมธี",คณะศิลปกรรมศาสตร์,700001,WE 09:30-11:30 N/A,-
36,FA201,"DEVELOPMENT OF WESTERN ARTS, CULTURE AND SOCIETY
***เฉพาะนักศึกษาคณะศิลปกรรมศาสตร์เท่านั้น (นศ.นอกคณะโปรดติดต่อผู้ สอนหรืองานบริการการศึกษาคณะฯ)***
ผศ.สรรพจน์ มาพบสุข",คณะศิลปกรรมศาสตร์,230001,TU 09:30-11:30 N/A,-
37,FA201,"DEVELOPMENT OF WESTERN ARTS, CULTURE AND SOCIETY
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***",คณะศิลปกรรมศาสตร์,910001,FR 13:30-15:30 N/A,-
38,FA202,"DEVELOPMENT OF ASIAN ARTS, CULTURE AND SOCIETY
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
อ.รสิตา สินเอกเอี่ยม
ผศ.ภาสกร อินทุมาร",คณะศิลปกรรมศาสตร์,540001,TH 13:30-15:30 N/A,"อ.รสิตา สินเอกเอี่ยม
ผศ.ภาสกร อินทุมาร"
39,FA301,"AESTHETICS FOR ARTS CREATOR
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
อ.ดร.นรีรัตน์ พินิจธนสาร",คณะศิลปกรรมศาสตร์,810002,MO 09:30-12:30 N/A,-
40,FA301,"AESTHETICS FOR ARTS CREATOR
ผศ.วีระจักร์ สุเอียนทรเมธี",คณะศิลปกรรมศาสตร์,700001,,-
41,FA301,"AESTHETICS FOR ARTS CREATOR
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
อ.ดร.นรีรัตน์ พินิจธนสาร",คณะศิลปกรรมศาสตร์,810001,MO 09:30-11:30 N/A,-
