,course_code,course_name,faculty,section,date,professor
97,TTD211,"COMPUTER-AID SURFACE AND TEXTILES DESIGN
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.เกษหทัย สิงห์อินทร์",คณะศิลปกรรมศาสตร์,768701,"FR 08:30-09:30 N/A
FR 09:30-12:30 N/A",-
98,TTD212,"PRINTED TEXTILE DESIGN 1
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.เกษหทัย สิงห์อินทร์",คณะศิลปกรรมศาสตร์,450001,"TU 13:30-14:30 N/A
TU 14:30-16:30 N/A",-
99,TTD213,"WOVEN TEXTILE DESIGN 1
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.ดร.วิทวัน จันทร
อ.ดร.วุฒิไกร ศิริผล
อ.จรูญ พาระมี",คณะศิลปกรรมศาสตร์,213201,"TH 08:30-09:30 N/A
TH 09:30-12:30 N/A","ผศ.ดร.วิทวัน จันทร
อ.ดร.วุฒิไกร ศิริผล
อ.จรูญ พาระมี"
100,TTD286,"TEXTILES ACCESSORIES AND PRODUCT
ผศ.ดร.วิทวัน จันทร",คณะศิลปกรรมศาสตร์,000001,,-
101,TTD286,"TEXTILES ACCESSORIES AND PRODUCT
***ปิดวิชา***
ผศ.ดร.วิทวัน จันทร",คณะศิลปกรรมศาสตร์,450001,TU 13:30-16:30 N/A,-
102,TTD311,"EMBROIDERY
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.ดร.วิทวัน จันทร",คณะศิลปกรรมศาสตร์,540001,"TH 13:30-14:30 N/A
TH 14:30-17:30 N/A",-
103,TTD312,"KNITTED DESIGN
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
อ.ดร.วุฒิไกร ศิริผล
อ.พรชัย ตุลยพิจิตร",คณะศิลปกรรมศาสตร์,768701,"FR 08:30-09:30 N/A
FR 09:30-12:30 N/A","อ.ดร.วุฒิไกร ศิริผล
อ.พรชัย ตุลยพิจิตร"
104,TTD313,"SUSTAINABLE DESIGN
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.ดร.วิทวัน จันทร
อ.ดร.วุฒิไกร ศิริผล
อ.สิงห์ อินทรชูโต
อ.พรพิไล มีมาลัย",คณะศิลปกรรมศาสตร์,122301,"TU 08:30-09:30 N/A
TU 09:30-12:30 N/A","ผศ.ดร.วิทวัน จันทร
อ.ดร.วุฒิไกร ศิริผล
อ.สิงห์ อินทรชูโต
อ.พรพิไล มีมาลัย"
105,TTD351,"INNOVATIVE TEXTILE DESIGN
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
อ.ดร.วุฒิไกร ศิริผล",คณะศิลปกรรมศาสตร์,122301,"TU 08:30-09:30 N/A
TU 09:30-12:30 N/A",-
106,TTD451,"INDUSTRIAL TEXTILES PROJECT
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***",คณะศิลปกรรมศาสตร์,000001,,-
107,TTD460,"ACADEMIC WRITING FOR ART & DESIGN
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.เกษหทัย สิงห์อินทร์",คณะศิลปกรรมศาสตร์,213201,"TH 08:30-09:30 N/A
TH 09:30-12:30 N/A",-
108,TTD461,"TEXTILE DESIGN ART THESIS PREPARATION
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.ดร.วิทวัน จันทร
อ.ดร.วุฒิไกร ศิริผล
ผศ.เกษหทัย สิงห์อินทร์
อ.รุ่งวิทย์ ลัคนทิน",คณะศิลปกรรมศาสตร์,789001,WE 09:30-15:30 N/A,"ผศ.ดร.วิทวัน จันทร
อ.ดร.วุฒิไกร ศิริผล
ผศ.เกษหทัย สิงห์อินทร์
อ.รุ่งวิทย์ ลัคนทิน"
109,TTD471,"TEXTILE MERCHANDISE & COMMERCIALIZATION
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.ดร.วิทวัน จันทร",คณะศิลปกรรมศาสตร์,768701,"FR 08:30-09:30 N/A
FR 09:30-12:30 N/A",-
110,TU115,"MAN AND HIS LITERARY CREATIVITY
***โครงการปกติ***
ผศ.ภาสกร อินทุมาร",คณะศิลปกรรมศาสตร์,820001,MO 13:30-16:30 N/A,-
111,TU115,"MAN AND HIS LITERARY CREATIVITY
ผศ.ภาสกร อินทุมาร",คณะศิลปกรรมศาสตร์,200001,TH 09:30-12:30 N/A,-
112,TU115,"MAN AND HIS LITERARY CREATIVITY
***โครงการปกติ***
ผศ.ภาสกร อินทุมาร",คณะศิลปกรรมศาสตร์,820001,MO 13:30-16:30 N/A,-
113,TU115,"MAN AND HIS LITERARY CREATIVITY
ผศ.ภาสกร อินทุมาร",คณะศิลปกรรมศาสตร์,237601,FR 13:00-16:00 N/A,-
114,TU116,"MAN AND ARTS : VISUAL ART, MUSIC AND PERFORMING ARTS
รศ.ปาริชาติ จึงวิวัฒนาภรณ์
อ.ธัญญ์ อ่อนวิมล",คณะศิลปกรรมศาสตร์,046401,MO 09:00-12:00 N/A,-
115,-,"MAN AND ARTS : VISUAL ART, MUSIC AND PERFORMING ARTS
รศ.ปาริชาติ จึงวิวัฒนาภรณ์
อ.ธัญญ์ อ่อนวิมล",คณะศิลปกรรมศาสตร์,-,-,-
116,-,"MAN AND ARTS : VISUAL ART, MUSIC AND PERFORMING ARTS
รศ.ปาริชาติ จึงวิวัฒนาภรณ์
อ.ธัญญ์ อ่อนวิมล",คณะศิลปกรรมศาสตร์,-,-,-
117,-,"MAN AND ARTS : VISUAL ART, MUSIC AND PERFORMING ARTS
รศ.ปาริชาติ จึงวิวัฒนาภรณ์
อ.ธัญญ์ อ่อนวิมล",คณะศิลปกรรมศาสตร์,-,-,-
118,-,"MAN AND ARTS : VISUAL ART, MUSIC AND PERFORMING ARTS
รศ.ปาริชาติ จึงวิวัฒนาภรณ์
อ.ธัญญ์ อ่อนวิมล",คณะศิลปกรรมศาสตร์,-,-,-
119,-,"MAN AND ARTS : VISUAL ART, MUSIC AND PERFORMING ARTS
รศ.ปาริชาติ จึงวิวัฒนาภรณ์
อ.ธัญญ์ อ่อนวิมล",คณะศิลปกรรมศาสตร์,-,-,-
120,-,"MAN AND ARTS : VISUAL ART, MUSIC AND PERFORMING ARTS
รศ.ปาริชาติ จึงวิวัฒนาภรณ์
อ.ธัญญ์ อ่อนวิมล",คณะศิลปกรรมศาสตร์,-,-,-
121,-,"MAN AND ARTS : VISUAL ART, MUSIC AND PERFORMING ARTS
รศ.ปาริชาติ จึงวิวัฒนาภรณ์
อ.ธัญญ์ อ่อนวิมล",คณะศิลปกรรมศาสตร์,-,-,-
122,-,"MAN AND ARTS : VISUAL ART, MUSIC AND PERFORMING ARTS
รศ.ปาริชาติ จึงวิวัฒนาภรณ์
อ.ธัญญ์ อ่อนวิมล",คณะศิลปกรรมศาสตร์,-,-,-
123,-,"MAN AND ARTS : VISUAL ART, MUSIC AND PERFORMING ARTS
รศ.ปาริชาติ จึงวิวัฒนาภรณ์
อ.ธัญญ์ อ่อนวิมล",คณะศิลปกรรมศาสตร์,-,-,-
124,-,"MAN AND ARTS : VISUAL ART, MUSIC AND PERFORMING ARTS
รศ.ปาริชาติ จึงวิวัฒนาภรณ์
อ.ธัญญ์ อ่อนวิมล",คณะศิลปกรรมศาสตร์,-,-,-
125,-,"MAN AND ARTS : VISUAL ART, MUSIC AND PERFORMING ARTS
รศ.ปาริชาติ จึงวิวัฒนาภรณ์
อ.ธัญญ์ อ่อนวิมล",คณะศิลปกรรมศาสตร์,-,-,-
126,-,"MAN AND ARTS : VISUAL ART, MUSIC AND PERFORMING ARTS
รศ.ปาริชาติ จึงวิวัฒนาภรณ์
อ.ธัญญ์ อ่อนวิมล",คณะศิลปกรรมศาสตร์,-,-,-
127,-,"MAN AND ARTS : VISUAL ART, MUSIC AND PERFORMING ARTS
รศ.ปาริชาติ จึงวิวัฒนาภรณ์
อ.ธัญญ์ อ่อนวิมล",คณะศิลปกรรมศาสตร์,-,-,-
128,-,"MAN AND ARTS : VISUAL ART, MUSIC AND PERFORMING ARTS
รศ.ปาริชาติ จึงวิวัฒนาภรณ์
อ.ธัญญ์ อ่อนวิมล",คณะศิลปกรรมศาสตร์,-,-,-
129,-,"MAN AND ARTS : VISUAL ART, MUSIC AND PERFORMING ARTS
รศ.ปาริชาติ จึงวิวัฒนาภรณ์
อ.ธัญญ์ อ่อนวิมล",คณะศิลปกรรมศาสตร์,-,-,-
